brand,customer_tweet_id,customer_text,customer_text_clean,brand_tweet_id,brand_text,brand_text_clean,is_dm_deflection,has_resolution_steps
AmazonHelp,617,Way to drop the ball on customer service @115821 so pissed right now!,Way to drop the ball on customer service so pissed right now!,615,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN","I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",False,False
AmazonHelp,299627,@123813 cuándo estrenan la 3ra termporada de @181310?,cuándo estrenan la 3ra termporada de ?,299626,"@187420 Hola Florentino, puedes mantenerte atento al sitio web. Cualquier novedad será anunciada directamente en nuestra página. ^LG","Hola Florentino, puedes mantenerte atento al sitio web. Cualquier novedad será anunciada directamente en nuestra página. ^LG",False,False
AmazonHelp,542239,@AmazonHelp Can see one driver throwing a package out from window at one of my neighbors house. https://t.co/AopojFAnnx,Can see one driver throwing a package out from window at one of my neighbors house.,542242,@245840 I am really sorry to see this Paul. Was the package still in perfect condition? Have you raised this with us directly?^SM,I am really sorry to see this Paul. Was the package still in perfect condition? Have you raised this with us directly?^SM,False,False
AmazonHelp,907495,@115850 I did buy a phone on 15sep at 10999.after two days of its price got down by 1500. In this regards I had wods with you tem. 1/3,I did buy a phone on 15sep at 10999.after two days of its price got down by 1500. In this regards I had wods with you tem. 1/3,907494,"@335499 marketplace and our efforts to offer you the lowest price, may result in fluctuations in our prices over time. ^NR 2/2","marketplace and our efforts to offer you the lowest price, may result in fluctuations in our prices over time. ^NR 2/2",False,False
AmazonHelp,1252067,"@AmazonHelp Not yet, but now you mentioned I will try","Not yet, but now you mentioned I will try",1252069,"@178443 No problem, Juan! Glad we could help! Please let us know if you need anything else! ^AD","No problem, Juan! Glad we could help! Please let us know if you need anything else! ^AD",False,False
AppleSupport,697,@AppleSupport The newest update. I️ made sure to download it yesterday.,The newest update. I️ made sure to download it yesterday.,699,@115854 Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there.,True,False
AppleSupport,505177,"@AppleSupport i have tried both connections, and yes i have tried restarting me phone","i have tried both connections, and yes i have tried restarting me phone",505178,@235822 How much available space do you have on your device?,How much available space do you have on your device?,False,False
AppleSupport,945501,@AppleSupport You have been charging me bit more of US 10 per month for a suscripton to itunes I never requested. I want my money back asap,You have been charging me bit more of US 10 per month for a suscripton to itunes I never requested. I want my money back asap,945498,"@344192 Hi there, our support team in the iTunes Store will be happy to help. You can contact them here: https://t.co/SDIe7UiyJN","Hi there, our support team in the iTunes Store will be happy to help. You can contact them here:",False,False
AppleSupport,1434194,@AppleSupport multiple messages to you? Are you there?,multiple messages to you? Are you there?,1434193,@452985 We are here.  Please send us a DM so we can take a closer look. https://t.co/GDrqU22YpT,We are here. Please send us a DM so we can take a closer look.,True,False
AppleSupport,1703866,@AppleSupport I have an iPhone 5 locked. What is the method or procedures to open it? thank you very much,I have an iPhone 5 locked. What is the method or procedures to open it? thank you very much,1704667,@516700 Got it. This article will help you with an Activation Lock: https://t.co/yFrcT36syx,Got it. This article will help you with an Activation Lock:,False,True
