intent_name,category_type,description,approx_count,dataset_pct,typical_action,escalation_expected,auto_handling_suitability,sample_customer_1,sample_customer_2,sample_customer_3,sample_customer_4,sample_customer_5,sample_support_response
battery_drain_charging,core_intent,"Rapid battery depletion, device overheating, charging cable/port failure, or abrupt shutdowns.",7632,9.54,Ask for device model & iOS version; suggest Settings > Battery check; recommend updating to latest iOS or running battery diagnostic.,False,High,I just need to do something about the battery life because it sucks ass,iOS 11 is killing my battery . Fix it.,"why is my battery life short? I updated to 11.1, my battery is poor. Wife didn’t she likes her battery life",Question- my iPhone6 dies very quick (have to charge it 3 times a day) my iPhone5 battery was faulty. Could this be the same?,I’m no expert in battery life but 40% doesn’t go to 7% in 5minutes,We want to help you get your battery life back on track. Please DM and we'll look at it together. https://t.co/GDrqU22YpT
keyboard_text_glitch,core_intent,"iOS 11 text replacement autocorrect glitch ('I' changes to 'A [?]' or symbol), keyboard lagging/freezing.",4721,5.9,Suggest updating to iOS 11.1.1 bug-fix release or configuring temporary Text Replacement workaround.,False,High,Tf is wrong with my keyboard,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also https://t.co/QKwvTLtiN7",iOS 11.1 - keyboard lag. 🤨 https://t.co/TdIHT9L9dt,tell me why I️’I’ve updated my phone twice and I️ can’t type letter I️ without getting a letter A and a question mark,"excuse me, can someone explain to me why when I type an “I️” alone I️ get an A and a question mark???????","Fill us in on what is happening, then we can help out from there."
network_wifi_cellular,core_intent,"Wi-Fi dropping/disconnecting, cellular 'No Service' or 'Searching', dropped calls, or slow mobile data.",1838,2.3,"Suggest toggling Airplane Mode, restarting phone, or resetting Network Settings (Settings > General > Reset > Reset Network Settings).",False,High,if my words even mean a thing to you; I am an iPhone 7 owner and have updated to your latest software and now am having the most dropped calls in history and glitch’s such as apps randomly opening and more ... #iHelp,Is anyone else having problems with there iPhone 7 saying no service?,I can’t download songs. Progress icon keeps spinning. On both data + WiFi. Stream works though. Can’t add songs to playlists. https://t.co/x7uUxSqO9u,The ‘Overlapping url over TIME on Free WiFi hotspots’ remains. v11.0.3. Not a WiFi problem; two different hotspots shown. https://t.co/81ifcrDUeS,I updated to iOS 11 and my iPhone 6 stopped connecting to wi-fi. Already restored the phone and the network connections,We want to help. Send us a DM letting us know if you are updated to iOS 11.1 https://t.co/GDrqU22YpT
os_update_installation,core_intent,"Failures downloading, verifying, or installing iOS updates; device stuck on Apple logo or recovery screen.",1713,2.14,Guide user through Settings > General > Software Update; provide Apple support link for recovery mode / iTunes backup.,False,High,Thank you I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,"It’s been a few days since made me update my phone’s operating system. Now constantly glitching, hmm 🤔 I’m shocked!",updated to iOS 11.1 and there's so many glitches and bugs I found inside the update,Downloaded new software update and my iPhone 6S in perfect condition magically became inoperably glitchy. What a coincidence,"Dear team, after update my iPhone 6 Plus its hang in the Apple logo screen.","We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?"
bluetooth_airpods_carplay,core_intent,"AirPods dropping audio, Bluetooth pairing failure with accessories, or CarPlay connection drops.",1262,1.58,Guide user to Settings > Bluetooth to forget device and re-pair; suggest resetting network settings or cleaning case.,False,High,still no reliable Bluetooth on my iPhone 8+.,I updated my iPhone and now the Bluetooth is constantly on. Why?,you guys are terrible back in October you said you’d send me something so I could send in my AirPods for repair since they didn’t work when I bought them. You never sent them to me at fort sill. Thanks!,Bluetooth connection iPhone X to Infiniti is terrible. Garbled and scratchy cutting in and out >30% of time. Didn't happen W iPhone 6!!,Since the newest update my MAC won't stay connected to my mouse & kb (bluetooth). Help !?!,Thanks for reaching out. DM which Bluetooth device you are trying to connect to so we can help. https://t.co/GDrqU22YpT
apple_id_account_access,core_intent,"Forgotten passwords, Apple ID locked or disabled for security reasons, two-factor authentication codes not received.",724,0.91,Direct user to iforgot.apple.com; explain account recovery wait period; escalate to security team if identity proof needed.,True,Low,"Hello, I need some help regarding the region change on my Apple ID","Just updated iOS on iPhone7, now iCloud backup greyed out, cannot be turned on, says “Last Backup Never”",suck! Upgrade phone & I lose my Apple ID. Can’t get new id without old & can’t book Genius bar help appointment without ID!!! #stupid,"Hey , not sure you tested EVERYTHING when implementing the ability to switch #iCloud account emails! https://t.co/GebmTtpdCc",Hey I heard I can change my Apple ID to my email but when I try it says nope. What gives? Spent an hour signing out & in.,This article should help with that: https://t.co/usOJWy6ChP
hardware_buttons_audio,core_intent,"Physical buttons (Home button, volume buttons, power button, mute switch) or built-in speakers/mic malfunctioning.",615,0.77,"Run diagnostic steps; if physical failure persists, book Genius Bar appointment or send to authorized repair center.",True,Low,MY HOME BUTTON DOESN’T WORK #IOS11,why can’t I change ringer volume with the buttons? Whose dumb idea was it to change that and how do they still have a job?,"Iphone 8, ios 11.0.2. Auto lock function not working properly. Will not lock unless i manually press power button. On for hours.",the latest update is very glitchy! Did you do away with the double tap home button to bring the screen down for the PLUS? #notworking,"since updating to 11.1 this am, sound volume on phone calls (handset) very quite - speaker and Bluetooth works fine - pls help",Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?
billing_subscription_refund,core_intent,"Financial charges from App Store / iTunes, unauthorized subscription renewals, payment methods, or refund requests.",576,0.72,Direct user to reportaproblem.apple.com to review purchase history and submit refund; guide to subscription cancellation in Settings.,False,Medium,Why do you keep charging my card for FREE apps? Im not happy at all.,My Q was: How was the delivery date in the cart 2 wks earlier than what’s on my receipt? #ServiceRecovery #SupplyChain #1standlastpreorder,where is all my music that was in my library? and why do i have to renew my subscription?,"hi there, I need to inquire something regarding he refund of an item",I accidentally bought something is there anyway I can get a refund,"We're here for you. For unrecognized charges, use: https://t.co/taIxXM0mAZ For more help, contact us: https://t.co/SDIe7UiyJN"
screen_touch_freeze,core_intent,"Unresponsive touch screen, frozen user interface, display lag, or blank/black display.",377,0.47,Provide forced restart instructions (e.g. Power + Volume Down buttons); check for physical display damage.,False,Medium,"Any idea why icons show up like this? I did force reset to no avail. After initial notification display, they show up. https://t.co/qBFIAlpGyD","Dear this new update sucks ,I have too many problems with my phone now ! Blurry screen , black screen , frozen phone !","After updating to 10.13.1 to fix freeze issues of High Sierra, I went to a complete black screen. Test product before release",My iPhone screen glass is completely cracked. Still the touch screen works. Can I change the glass alone or the display too?,My 6 month old IPhone 6 touch screen is unresponsive. please help!,"We're here for you. DM us, and we'll look into this together. https://t.co/GDrqU22YpT"
app_crash_download_error,core_intent,"Third-party apps (Spotify, YouTube, WhatsApp) crashing on launch, or App Store unable to download/update apps.",161,0.2,"Suggest force-closing app, checking available device storage, restarting device, or deleting and reinstalling app.",False,High,hi all. and settings apps keep crashing on iOS 11.1.2. See attached video. Is this a known issue? https://t.co/bjiEsXG7uG,Hey why can’t I search on my music app for music without the whole app crashing??!! https://t.co/CweVYCRX3u,the app crashes when you are navigating on the ‘you’ tab. Happened several times today,"your phones suck now, literally cannot type any sort of long message without the app crashing and my text being deleted.",Using iPhone 6. Nothing I do fixes the music app crash since iOS 11 update. Cannot use it. Help plse. 😡,Thanks for bringing this to our attention. We'd like to look into this further. Please click here to join us in DM: https://t.co/GDrqU22YpT
other_general_inquiry,out_of_scope_rejection,"Explicit out-of-scope / rejection class for customer messages that do not match the 10 supported core technical support intents (e.g., general feedback, casual comments, retail/shipping inquiries, rare cases).",60373,75.47,Acknowledge message politely; provide general Apple Support portal or deflect to appropriate retail/carrier channel.,False,Low,I️ need answers because it’s annoying 🙃,"Hey and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?",hello are all the lines closed for tonight #help,I️ upgraded. I️t didn’t work.,I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?
