tweet_id,clean_message,ground_truth_intent,final_escalation,predicted_intent,confidence,decision,escalation_reason,drafted_reply,top_retrieval_similarity,retrieved_case_count,reply_exists,retrieval_available,top_retrieved_customer_msg,top_retrieved_support_reply,lexical_jaccard_at_1,lexical_match_at_1,reply_grounded_to_retrieval,execution_error
331722,why does my battery drain 65% in 7 hrs when not in use?I could go 2 days w/o charging now I have to charge 3 times a day.....,battery_drain_charging,False,battery_drain_charging,0.9852,AUTO_HANDLE,N/A — confidence and retrieval evidence are sufficient.,That's not expected behavior. We'd like to help you with this. Meet up with us in DM and we'll help you out! https://t.co/GDrqU22YpT,0.3195,5,True,True,How do I go back to iOS 10? I shouldn’t have to charge my iPhone and iPad every 2 hours even when not in use. #iOS11,That's not expected behavior. We'd like to help you with this. Meet up with us in DM and we'll help you out! https://t.co/GDrqU22YpT,0.2619,True,True,
908482,And it’s not just the battery. So many apps are not working well and the connectivity within apps is terrible.,battery_drain_charging,,battery_drain_charging,0.7547,AUTO_HANDLE,N/A — confidence and retrieval evidence are sufficient.,"That's correct! With Apple Music, you have access to millions of songs. Check this out for details: https://t.co/dZgsEePiEK",0.2752,5,True,True,Not just the music I sync?,"That's correct! With Apple Music, you have access to millions of songs. Check this out for details: https://t.co/dZgsEePiEK",0.15,True,True,
2206027,Is there a fast/quick charger for #iPhone8Plus available separately? Could you send me an link plz?,other_general_inquiry,,battery_drain_charging,0.7831,AUTO_HANDLE,N/A — confidence and retrieval evidence are sufficient.,We'd like to look into some options for that MacBook. Let us know which country you're located in via DM to get started. https://t.co/GDrqU22YpT,0.4796,5,True,True,"Could you send me a new T :D
#justkidding",We'd like to look into some options for that MacBook. Let us know which country you're located in via DM to get started. https://t.co/GDrqU22YpT,0.2381,True,True,
1679181,when are you planning to fix the battery drain issue. Have to literally charge my phone thrice in a day. #iPhone6s#ios11.1,network_wifi_cellular,False,battery_drain_charging,0.9836,AUTO_HANDLE,N/A — confidence and retrieval evidence are sufficient.,We're happy to look into this for you. Can you please tell us which iOS version you are currently on?,0.606,5,True,True,When are you planning to fix the battery issue! 😤😡,We're happy to look into this for you. Can you please tell us which iOS version you are currently on?,0.4091,True,True,
1959853,I don’t wanna upgrade my phone but the battery keeps dying idk what to do. And it’s all because of this update. Thank you so much,os_update_installation,False,battery_drain_charging,0.9742,AUTO_HANDLE,N/A — confidence and retrieval evidence are sufficient.,You're welcome! Have a great evening.,0.3587,5,True,True,THANK YOU SO MUCH!!!,You're welcome! Have a great evening.,0.1429,False,True,
2789230,Updated my iPhone to 11.1.2 and the battery drain is worse than ever. From 100% to 10% in less than 6 hours is absolutely ridiculous.,battery_drain_charging,False,battery_drain_charging,0.9708,AUTO_HANDLE,N/A — confidence and retrieval evidence are sufficient.,We're here to help. Have you had the chance to try the steps provided in this article? https://t.co/bivpdfBNJ6,0.3866,5,True,True,since software 11 launched my iphone7 plus battery goes from 100% to 10% in less than 2 hours .. while tweeting this i lost 5%,We're here to help. Have you had the chance to try the steps provided in this article? https://t.co/bivpdfBNJ6,0.3333,True,True,
2031590,thank you for killing my battery life with that last update.,keyboard_text_glitch,False,battery_drain_charging,0.9915,AUTO_HANDLE,N/A — confidence and retrieval evidence are sufficient.,Your battery life is important to us. We'd like to look into this with you. DM us the exact version of iOS 11 you are running. https://t.co/GDrqU22YpT,0.4596,5,True,True,Thank you for killing my battery life . I should have never upgraded to iOS11 Do you test anything before it’s released?,Your battery life is important to us. We'd like to look into this with you. DM us the exact version of iOS 11 you are running. https://t.co/GDrqU22YpT,0.28,True,True,
2294682,IOS11 Battery drain makes no sense. what the hell?,bluetooth_airpods_carplay,False,battery_drain_charging,0.9721,AUTO_HANDLE,N/A — confidence and retrieval evidence are sufficient.,We'd love to take a look at it with you. Let's meet up in DM to discuss it. https://t.co/GDrqU22YpT,0.4605,5,True,True,what the hell,We'd love to take a look at it with you. Let's meet up in DM to discuss it. https://t.co/GDrqU22YpT,0.3333,True,True,
1859921,since downloading iOS 11. the battery on my phone and iPad runs down extremely quickly.,apple_id_account_access,False,battery_drain_charging,0.9882,AUTO_HANDLE,N/A — confidence and retrieval evidence are sufficient.,We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,0.3333,5,True,True,please fix this new iOS my phone crashes 2 plus times a day since downloading iOS 11.,We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,0.24,True,True,
1713769,hey. How do I check my battery capacity ?,keyboard_text_glitch,False,battery_drain_charging,0.9769,AUTO_HANDLE,N/A — confidence and retrieval evidence are sufficient.,We want to help. Send us a DM and we'll help you find the information you are looking for. https://t.co/GDrqU22YpT,0.5501,5,True,True,hey how do I check what date these purchases were made https://t.co/t7z1iHz4Qe,We want to help. Send us a DM and we'll help you find the information you are looking for. https://t.co/GDrqU22YpT,0.2778,True,True,
